[2013-03-16 09:26:46] START
[2013-03-16 09:26:46] EDIT welcome/controllers/default.py: 2
[2014-06-25 09:14:58] EDIT RegressionReport/models/db.py: 29
[2014-06-25 09:25:04] EDIT RegressionReport/controllers/default.py: 34
[2014-06-25 09:25:36] CREATE default/create.html: 0
[2014-06-25 09:26:36] EDIT RegressionReport/views/default/create.html: 0
[2014-06-25 09:28:12] EDIT RegressionReport/views/default/index.html: -22
[2014-06-25 09:28:19] EDIT RegressionReport/views/default/index.html: 0
[2014-06-25 09:28:35] EDIT RegressionReport/views/default/user.html: -5
[2014-06-25 09:29:27] EDIT RegressionReport/models/db.py: 0
[2014-06-25 09:39:17] EDIT RegressionReport/controllers/default.py: 0
[2014-06-25 09:44:27] EDIT RegressionReport/views/default/index.html: 0
[2014-06-25 09:45:28] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 08:01:31] EDIT RegressionReport/models/db.py: 5
[2014-06-26 11:37:09] EDIT RegressionReport/views/default/index.html: 0
[2014-06-26 11:38:02] EDIT RegressionReport/controllers/default.py: 1
[2014-06-26 11:39:58] EDIT RegressionReport/views/default/index.html: 1
[2014-06-26 11:40:26] EDIT RegressionReport/views/default/index.html: -1
[2014-06-26 11:41:37] EDIT RegressionReport/controllers/default.py: -1
[2014-06-26 11:43:54] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 11:45:02] EDIT RegressionReport/views/default/index.html: 0
[2014-06-26 11:47:34] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 11:50:46] EDIT RegressionReport/views/default/index.html: 0
[2014-06-26 11:50:49] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 11:50:49] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 11:50:49] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 11:50:49] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 14:35:58] EDIT RegressionReport/controllers/default.py: 1
[2014-06-26 14:36:28] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 14:36:53] EDIT RegressionReport/controllers/default.py: -1
[2014-06-26 14:38:32] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 14:42:16] EDIT RegressionReport/models/db.py: 0
[2014-06-26 14:44:17] EDIT RegressionReport/controllers/default.py: 4
[2014-06-26 14:44:56] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 14:44:57] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 14:45:17] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 14:45:47] EDIT RegressionReport/controllers/default.py: -1
[2014-06-26 14:45:49] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 14:46:40] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 14:47:02] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 14:47:04] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 14:47:55] EDIT RegressionReport/controllers/default.py: -3
[2014-06-26 14:48:07] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 14:48:57] EDIT RegressionReport/controllers/default.py: 1
[2014-06-26 14:50:51] EDIT RegressionReport/controllers/default.py: 3
[2014-06-26 16:10:04] EDIT RegressionReport/controllers/default.py: 1
[2014-06-26 16:22:04] EDIT RegressionReport/controllers/default.py: 3
[2014-06-26 16:22:20] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 16:22:22] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 20:33:01] EDIT RegressionReport/controllers/default.py: -5
[2014-06-26 20:33:39] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 20:34:25] EDIT RegressionReport/views/default/index.html: -1
[2014-06-26 20:34:49] EDIT RegressionReport/views/default/index.html: 1
[2014-06-26 20:34:55] EDIT RegressionReport/views/default/index.html: 0
[2014-06-26 20:35:36] EDIT RegressionReport/controllers/default.py: -1
[2014-06-26 20:36:14] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 20:37:12] EDIT RegressionReport/controllers/default.py: 1
[2014-06-26 20:37:17] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 20:38:10] EDIT RegressionReport/controllers/default.py: -1
[2014-06-26 20:44:11] EDIT RegressionReport/controllers/default.py: 2
[2014-06-26 20:45:09] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 20:48:44] EDIT RegressionReport/controllers/default.py: 4
[2014-06-26 20:54:32] EDIT RegressionReport/controllers/default.py: 1
[2014-06-26 21:05:02] CREATE loadxls/load.py: 0
[2014-06-26 21:21:34] EDIT RegressionReport/models/db.py: 2
[2014-06-26 21:22:05] EDIT RegressionReport/modules/loadxls/load.py: 17
[2014-06-26 21:50:59] EDIT RegressionReport/controllers/default.py: 1
[2014-06-26 21:51:34] EDIT RegressionReport/controllers/default.py: 0
[2014-06-26 21:55:16] EDIT RegressionReport/controllers/default.py: 0
[2014-06-27 08:39:32] EDIT RegressionReport/controllers/default.py: 0
[2014-06-27 08:42:23] EDIT RegressionReport/controllers/default.py: 0
[2014-06-27 08:42:46] EDIT RegressionReport/controllers/default.py: 0
[2014-06-27 08:44:32] EDIT RegressionReport/modules/loadxls/load.py: -3
[2014-06-27 08:44:43] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 08:44:47] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 08:44:52] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 08:49:19] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 08:49:38] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 08:49:46] EDIT RegressionReport/modules/loadxls/load.py: -1
[2014-06-27 08:51:04] EDIT RegressionReport/controllers/default.py: 1
[2014-06-27 08:52:12] EDIT RegressionReport/controllers/default.py: 0
[2014-06-27 08:52:45] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-06-27 09:18:54] EDIT RegressionReport/modules/loadxls/load.py: 0
[2014-06-27 09:19:00] EDIT RegressionReport/modules/loadxls/load.py: -1
[2014-06-27 09:19:37] EDIT RegressionReport/modules/loadxls/load.py: 1
[2014-06-27 09:21:03] EDIT RegressionReport/modules/loadxls/load.py: 0
